Nome: BRASILIA
Codigo Estacao: A001
Latitude: -15.78944444
Longitude: -47.92583332
Altitude: 1160.96
Situacao: Operante
Data Inicial: 2001-01-01
Data Final: 2019-12-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);PRESSAO ATMOSFERICA MEDIA DIARIA (AUT)(mB);TEMPERATURA DO PONTO DE ORVALHO MEDIA DIARIA (AUT)(°C);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);UMIDADE RELATIVA DO AR, MINIMA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2001-01-01;22.4;885.4;18.8;24.6;20.7;18.7;89.3;69;7.4;1.7;
2001-01-02;37.2;885.9;18.3;24.7;20.7;18.5;87;67;9;2.4;
2001-01-03;null;886.8;17.8;26.5;null;18.7;77.2;55;9;2.8;
2001-01-04;null;888.5;17.5;26.3;null;17.4;80.2;59;10.1;3;
2001-01-05;null;887.9;17;27.2;null;18.5;72.1;43;9.6;3.4;
2001-01-06;null;886.7;14.3;27.7;null;17.1;60.7;35;8.3;2.4;
2001-01-07;null;885.6;16.4;28.7;null;18.1;68.5;44;11;1.9;
2001-01-08;null;null;null;null;null;19;71.4;47;7.5;null;
2001-01-09;null;null;15.6;28.3;null;18.6;62.6;40;8.4;2.5;
2001-01-10;null;886.6;14.2;27.3;null;20;54.9;40;8.1;2.9;
2001-01-11;null;887.6;16.6;25;null;18.5;72.8;57;8.6;2.6;
2001-01-12;null;null;null;27.5;null;18.9;55.6;33;9.1;null;
2001-01-13;null;887.4;14.8;27.2;null;15.5;67.8;43;12.1;3;
2001-01-14;null;888.4;14.3;27.1;null;19.4;59.7;39;9.6;3.9;
2001-01-15;0;888;14.4;27.2;22;17.8;63;41;10.8;3.8;
2001-01-16;0;887.9;13.7;26.3;21.8;17.7;61.2;35;10.6;4.3;
2001-01-17;0;888.1;15;27.4;21.9;18.1;66;41;8.4;3.5;
2001-01-18;null;887.8;13.8;26.8;null;16.9;60.2;38;11.2;4;
2001-01-19;null;null;null;null;null;null;null;43;6.1;null;
2001-01-20;null;null;null;null;null;null;null;null;null;null;
2001-01-21;null;null;null;null;null;null;null;null;null;null;
2001-01-22;null;null;null;null;null;null;null;65;7.4;null;
2001-01-23;null;null;null;null;null;null;null;88;3.7;null;
2001-01-24;null;null;null;null;null;null;null;56;4.5;null;
2001-01-25;null;887.6;17.9;27.1;21.3;null;81.9;54;8.8;1.5;
